elevation,slope,aspect,curvature,geology,rainfall_1h,rainfall_24h,rainfall_72h,rainfall_intensity,temperature,humidity,soil_moisture,insar_velocity_mm_yr,sar_deformation_flag,landslide
513.3,26.9,89.2,-0.44084,LHS Daling,2.54,34.07,106.7,0.0745,24.8,85.6,71.5,-5.69,0,0
1358.2,5.75,4.0,0.39682,LHS Daling,0.45,9.26,9.39,0.0483,23.0,50.4,26.8,-2.04,0,0
840.6,10.9,105.5,-0.79749,MCT zone,0.01,10.81,10.81,0.0013,25.4,54.7,17.2,-0.18,0,0
2659.5,18.46,173.3,0.64987,GHS paro,0.35,0.57,19.65,0.6169,13.9,54.2,37.9,-1.96,0,0
475.8,15.61,276.6,0.61139,GHS paro,0.08,4.06,9.59,0.0192,18.5,47.2,32.2,-1.68,0,0
514.2,44.65,162.8,-0.70124,LHS,4.95,33.11,85.92,0.1494,21.2,70.6,51.5,-4.28,0,0
2920.3,12.86,318.2,0.5159,LHS Daling,34.64,197.44,470.68,0.1755,2.5,91.1,77.0,-3.77,0,1
3621.3,31.17,248.7,0.98753,GHS paro,0.09,2.78,3.07,0.0335,3.9,55.8,41.3,-0.88,0,0
814.4,7.71,11.7,-0.31968,Sedimentary/Alluvium,0.09,0.09,16.83,0.8569,13.7,48.2,41.8,-0.51,0,0
857.6,44.19,194.9,-1.16976,LHS Daling,31.18,162.91,413.87,0.1914,9.8,90.0,96.1,-11.7,1,1
2360.6,13.81,88.7,0.37982,Lingtse,0.08,0.12,5.5,0.6543,15.7,64.9,16.9,0.05,0,0
3145.0,40.8,278.6,-1.05431,GHS paro,0.28,8.2,21.63,0.0337,4.4,40.9,38.7,-0.39,0,0
1447.8,33.17,151.9,0.48484,LHS Daling,0.45,0.8,7.04,0.5631,16.8,59.7,35.8,-0.45,0,0
2370.9,13.62,274.5,0.25549,Lingtse,47.78,212.78,516.05,0.2246,-0.2,91.1,82.3,-22.65,1,1
1999.2,52.24,202.6,-7.00738,MCT zone,0.51,0.98,19.11,0.5216,6.4,57.7,42.4,-5.03,1,0
1644.7,24.66,106.0,-0.43693,Sedimentary/Alluvium,0.03,1.01,10.19,0.0343,19.9,61.6,23.9,-7.62,1,0
3117.2,21.28,214.4,0.46433,Sedimentary/Alluvium,3.41,25.21,63.67,0.1352,-0.9,70.2,73.9,-2.4,0,0
840.6,10.9,105.5,-0.79749,MCT zone,0.3,7.61,7.61,0.0396,14.2,41.4,28.0,-2.08,0,0
960.7,44.58,156.5,-0.68398,LHS Daling,15.64,48.56,108.89,0.3221,14.4,80.8,74.6,-2.84,0,1
1092.3,41.68,175.5,-0.35756,LHS Daling,6.48,82.93,168.5,0.0781,10.3,71.6,63.9,-11.17,1,1
304.7,23.41,249.7,0.31771,Lingtse,0.03,8.44,8.44,0.0032,29.0,48.8,24.7,-1.03,0,0
2437.7,13.77,55.2,-0.43851,Lingtse,33.97,192.5,462.43,0.1765,-0.2,95.9,75.4,-12.3,1,1
666.7,34.09,90.0,-0.90916,LHS Daling,3.24,14.88,48.72,0.2175,19.0,71.4,55.3,-2.26,0,0
1011.3,20.91,250.1,0.37373,GHS paro,2.42,3.73,25.95,0.649,17.1,50.1,16.5,-1.43,0,0
1766.9,35.09,149.5,-0.2324,LHS Daling,11.06,46.83,83.99,0.2363,16.1,89.1,55.8,-2.85,0,0
3445.0,19.79,342.3,-0.64605,LHS Daling,0.17,0.82,1.16,0.2114,7.8,48.6,34.9,-1.99,0,0
2897.3,45.67,138.6,1.77494,GHS paro,1.19,3.74,14.67,0.3166,6.2,41.7,22.6,-2.11,0,0
2402.3,23.3,54.0,0.16877,GHS paro,1.64,21.28,56.57,0.0771,8.5,70.0,54.0,-14.49,1,0
1645.8,8.39,304.7,-0.30171,MCT zone,0.51,10.49,15.18,0.0485,12.5,43.8,20.0,-0.86,0,0
1658.6,7.92,286.8,0.04907,LHS Daling,14.18,127.85,484.03,0.1109,6.0,86.0,90.9,-26.39,1,1
920.5,38.69,188.0,-1.36441,LHS Daling,0.16,2.98,2.98,0.0523,22.2,53.4,33.8,-1.93,0,0
2154.7,38.75,235.8,-1.26287,GHS paro,0.29,3.48,3.48,0.0836,14.1,56.5,19.4,-0.91,0,0
3372.5,42.14,227.5,0.17418,GHS paro,0.51,3.08,3.08,0.1652,10.7,42.2,26.2,-2.22,0,0
892.4,22.48,84.4,-0.80846,LHS Daling,8.31,43.53,94.96,0.1909,16.2,91.0,60.1,-2.44,0,0
1864.7,21.98,219.8,0.15832,LHS Daling,3.94,22.51,61.28,0.1749,9.2,71.5,64.2,-0.66,0,0
797.5,21.38,23.7,0.4991,Lingtse,0.35,5.04,7.36,0.0685,21.7,60.5,44.5,-0.61,0,0
3006.0,15.92,153.4,0.0268,GHS paro,16.13,75.51,150.7,0.2136,5.0,75.0,52.7,-10.08,1,1
2125.1,11.83,323.8,-1.1585,GHS paro,0.64,1.19,2.55,0.5421,13.1,57.8,34.1,-0.85,0,0
1693.0,12.36,151.1,0.08023,GHS paro,0.56,2.25,16.82,0.2498,14.1,63.0,34.3,-1.75,0,0
3380.5,16.26,46.4,0.25232,GHS paro,33.52,199.85,522.61,0.1677,-3.3,87.7,86.3,-16.56,1,1
2302.2,10.29,54.9,0.90097,LHS Daling,18.36,169.48,468.13,0.1084,7.1,97.2,73.2,-26.19,1,1
1143.4,46.51,184.2,-1.27152,LHS Daling,0.12,8.87,8.87,0.014,12.7,69.9,24.6,-0.69,0,0
2729.5,14.07,349.0,-0.19327,Lingtse,0.13,1.02,3.8,0.1296,15.5,74.4,37.1,-1.64,0,0
820.8,10.88,27.0,0.06817,LHS Daling,0.36,1.55,10.43,0.2311,24.3,62.3,17.2,-1.65,0,0
3483.7,19.98,338.3,-0.42137,GHS paro,7.51,48.93,132.76,0.1535,-4.7,82.8,67.6,0.52,0,0
1562.4,47.91,131.9,1.22189,GHS paro,1.49,7.64,7.64,0.1947,19.6,53.9,27.5,-1.75,0,0
1806.9,17.11,298.9,0.09351,LHS Daling,6.25,32.53,94.55,0.1923,9.7,76.4,58.2,-2.13,0,0
1518.3,16.59,58.9,-0.62502,LHS Daling,1.72,11.77,13.33,0.1464,21.4,73.8,37.3,-1.25,0,0
587.6,26.31,143.5,-0.9774,LHS Daling,4.96,80.44,139.17,0.0617,14.0,87.2,65.1,-3.24,0,1
3282.9,22.12,188.3,-0.07854,MCT zone,12.98,166.65,394.68,0.0779,-5.5,98.3,77.5,-4.48,0,1
3567.4,32.17,208.3,0.1915,GHS paro,0.19,5.12,38.82,0.0364,-0.9,42.5,44.9,-1.53,0,0
363.0,24.73,169.8,-0.18708,Sedimentary/Alluvium,3.21,31.08,73.14,0.1032,19.4,81.4,70.6,-1.89,0,0
2025.0,6.18,108.3,-0.24088,LHS Daling,0.84,20.97,80.62,0.04,7.3,75.5,49.6,-1.3,0,0
4415.4,32.31,241.6,1.99083,GHS paro,0.64,3.57,3.57,0.1792,3.1,64.5,16.1,-2.41,0,0
1837.0,5.95,305.7,-0.38923,GHS paro,6.17,31.31,109.07,0.197,14.0,72.7,49.0,-3.3,0,0
2986.5,14.74,222.7,-0.45668,GHS paro,50.03,217.5,568.16,0.23,1.6,94.6,78.4,-5.52,0,1
1601.1,16.78,286.1,-0.21162,MCT zone,0.27,1.82,1.82,0.1485,13.1,58.6,44.4,-1.19,0,0
1299.3,38.24,163.8,-1.46413,MCT zone,1.97,27.67,93.93,0.0712,19.7,82.2,56.2,-3.07,0,0
2637.3,19.84,129.2,-0.02864,GHS paro,0.22,6.48,19.1,0.0336,16.0,58.6,29.1,-3.12,0,0
2852.1,8.38,340.6,-0.05193,MCT zone,0.41,1.67,19.66,0.2461,10.2,48.5,21.7,-2.12,0,0
2125.1,7.52,255.3,0.52685,GHS paro,2.27,47.56,99.17,0.0478,10.7,83.3,49.2,-4.07,0,0
3219.5,11.7,250.7,-0.27109,LHS Daling,2.13,10.63,25.09,0.1999,7.7,91.6,49.2,-5.77,1,0
3596.0,10.42,53.5,0.05009,LHS Daling,28.38,144.67,343.66,0.1962,-3.9,88.6,94.2,-14.7,1,1
3496.5,23.84,270.0,-0.26516,LHS Daling,0.17,13.1,13.1,0.0132,4.7,59.7,43.1,-0.68,0,0
2046.1,10.96,189.5,-0.1567,Sedimentary/Alluvium,0.33,4.74,4.74,0.0689,15.1,66.1,39.3,-1.67,0,0
1626.8,22.68,335.5,-1.1489,GHS paro,0.54,2.1,17.54,0.2579,19.3,41.4,40.7,-1.55,0,0
2535.9,42.5,210.6,0.10313,GHS paro,0.08,10.56,10.56,0.0076,11.4,44.1,38.5,-2.69,1,0
3778.5,6.09,29.8,-0.42605,LHS Daling,8.26,23.0,83.27,0.3593,1.6,75.1,66.1,-5.13,0,0
872.5,49.33,118.4,1.34065,LHS Daling,0.56,8.04,8.04,0.0695,16.0,64.8,19.0,-1.32,0,0
1312.4,23.42,153.1,0.05342,MCT zone,44.03,201.93,520.75,0.218,10.1,89.0,97.1,-19.92,1,1
717.9,43.3,191.4,-0.63443,LHS,0.86,4.24,6.42,0.2022,22.6,41.2,36.8,-1.03,0,0
3508.2,6.97,7.1,0.22759,GHS paro,0.08,0.58,21.71,0.1362,6.5,74.1,28.9,-2.36,0,0
1371.8,32.76,97.9,-0.21167,GHS paro,14.09,136.96,416.89,0.1028,14.1,93.4,82.5,-10.59,1,1
2196.5,33.42,61.2,-3.38042,GHS paro,19.1,232.76,490.09,0.0821,7.2,91.5,95.6,-4.1,0,1
1648.0,35.14,168.2,-2.03151,GHS paro,0.2,7.57,7.57,0.0269,12.3,44.2,20.2,-1.72,0,0
1967.7,30.88,229.9,-0.71852,LHS Daling,0.29,1.57,1.57,0.1856,15.0,62.1,40.8,-2.78,0,0
4469.6,20.48,238.4,1.25617,GHS paro,0.4,3.27,5.86,0.1209,-4.3,51.7,36.5,-2.32,0,0
1991.9,16.64,247.8,0.17478,Sedimentary/Alluvium,5.26,43.29,113.47,0.1215,4.7,91.0,49.7,-10.5,1,0
3138.9,7.69,331.5,-0.1931,GHS paro,29.05,191.22,526.17,0.1519,-4.1,92.0,93.9,-22.07,1,1
4257.6,18.46,217.0,0.50554,GHS paro,10.45,34.07,84.57,0.3067,-0.9,87.7,52.1,-5.27,0,0
3006.0,15.92,153.4,0.0268,GHS paro,4.04,35.11,96.98,0.1152,0.1,74.7,57.1,-3.54,0,0
730.5,7.13,55.9,0.25351,Sedimentary/Alluvium,3.44,11.92,69.19,0.2884,12.1,83.4,53.6,-2.93,0,0
3326.0,7.05,209.2,0.10427,GHS paro,20.5,219.39,621.44,0.0934,-4.2,87.0,92.9,-4.96,0,1
1999.6,22.87,224.7,-0.29421,LHS Daling,34.07,193.64,514.49,0.1759,8.5,86.4,73.1,-25.12,1,1
299.2,38.62,188.6,-1.9356,LHS Daling,0.35,4.19,4.19,0.0842,25.3,62.8,26.6,-2.32,0,0
4516.8,34.37,230.8,0.41175,GHS paro,0.05,2.33,2.33,0.0214,-6.4,64.5,19.6,-0.71,0,0
363.0,15.24,51.8,-2.0988,LHS Daling,30.42,201.85,405.67,0.1507,14.8,90.5,90.2,-7.06,1,1
3669.8,23.79,148.3,0.1386,LHS Daling,0.61,10.62,10.62,0.057,6.2,60.7,28.0,-2.0,0,0
2394.8,57.95,176.0,-2.10689,GHS paro,0.82,0.82,6.41,1.0,12.2,70.8,22.3,-1.8,0,0
1425.2,24.96,15.2,-0.0885,GHS paro,0.94,0.94,6.13,1.0,15.6,47.2,19.4,-1.25,0,0
3202.9,6.86,299.0,0.03073,LHS Daling,0.18,6.73,10.73,0.0274,10.2,45.8,42.6,-2.1,0,0
2709.4,18.25,87.5,-0.48958,LHS Daling,0.4,3.65,3.65,0.1083,15.3,70.8,36.3,-1.43,0,0
1949.5,8.28,36.6,0.20913,LHS Daling,42.67,150.72,494.79,0.2831,3.2,90.3,96.5,-15.12,1,1
466.3,42.07,133.8,0.21731,LHS Daling,0.0,2.62,3.64,0.0015,16.3,74.0,24.7,0.05,0,0
1726.5,7.05,160.6,-1.03642,LHS Daling,0.15,0.15,1.49,1.0,13.0,62.4,28.0,-1.99,0,0
2183.4,55.94,159.5,-1.43594,GHS paro,0.08,6.26,6.26,0.0121,9.7,44.4,18.1,-2.91,0,0
2493.1,6.48,254.0,-0.06918,GHS paro,10.92,51.22,104.6,0.2132,1.2,85.9,50.2,-3.14,0,0
2579.0,12.87,128.2,-0.26057,Sedimentary/Alluvium,0.88,11.3,15.66,0.0781,13.4,71.6,32.6,-1.64,0,0
1757.8,12.42,271.0,-0.07746,MCT zone,4.67,63.03,108.19,0.0741,6.3,72.7,65.8,-13.34,1,0
3584.1,21.49,200.4,-0.18355,LHS Daling,1.43,26.22,61.52,0.0546,3.8,90.5,66.1,-5.62,0,1
1738.6,20.29,120.7,-0.11227,Sedimentary/Alluvium,17.07,100.58,296.73,0.1697,7.4,93.8,79.1,-2.97,0,0
1265.2,16.53,120.3,-0.24536,LHS Daling,0.08,6.06,6.06,0.013,17.0,58.9,19.0,-3.47,0,0
3048.2,24.94,132.7,-1.16854,Sedimentary/Alluvium,5.31,98.8,315.38,0.0538,-2.5,96.2,97.2,-7.83,1,1
800.0,5.49,260.9,0.05461,Sedimentary/Alluvium,8.48,57.42,114.2,0.1477,22.6,88.7,67.4,-3.7,0,0
1899.7,41.84,108.5,-2.08298,GHS paro,0.72,42.36,109.54,0.0171,7.9,92.0,55.9,-9.85,1,1
1724.9,20.76,313.2,0.39842,LHS Daling,0.05,0.59,9.7,0.0882,13.2,61.0,43.9,-0.56,0,0
1031.1,14.57,255.0,0.27855,MCT zone,0.14,0.14,2.8,1.0,14.9,43.7,17.6,0.41,0,0
