Name,descriptio,layer,Aspect,Curvature,Slope,Elevation,Geology,Extent
Debris flow,"2011",Debrisflow Debrisflow,168.2261284700,-203150580.0000000000,35.1378252240,1648.0123562000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,146.0652720100,54101942.2220000029,45.6463326350,2016.0956624000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,145.1850467300,191233447.1100000143,56.1529464720,1868.8364258000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,175.5536872000,-52481875.1670000032,48.1375461150,1617.3179118000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,105.9360215900,50513060.6670000032,46.9703602260,2108.5894911000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,259.7170003300,236060096.0000000000,44.4680247840,2038.0648193000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,148.9563920800,-3509408.0000000000,32.7539024350,2584.9475098000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,138.5579986600,177493700.2199999988,45.6734508940,2897.3457031000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,153.3240661600,334671492.4399999976,39.4474326240,2877.0493978000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,215.1958957200,239678617.3300000131,44.9870897930,3087.6203885000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,141.4130639000,-70306499.7500000000,44.0367533370,2350.3981662000,GHS paro,East Sikkim
Debris flow,"Active
2011",Debrisflow Debrisflow,248.7096642400,98753100.6669999957,31.1744702660,3621.2839355000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,86.0261103310,141511352.4399999976,38.9246885510,2231.8364529000,GHS paro,East Sikkim
Debris flow,"2005",Debrisflow Debrisflow,250.2780405700,93531095.7010000050,19.0593440800,3641.7963053000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,97.4713219540,-228105780.2199999988,40.5744658580,2154.2006565000,GHS paro,East Sikkim
Debris flow,"2005",Debrisflow Debrisflow,274.1398925800,-37261732.8060000017,34.2962612580,3439.8241102000,GHS paro,East Sikkim
Debris flow,Active,Debrisflow Debrisflow,270.1865064800,-22530920.8889999986,43.3605868020,2917.0833333000,GHS paro,East Sikkim
Debris flow,Active,Debrisflow Debrisflow,281.9132181800,40624351.4439999983,27.7280688820,2973.8364258000,GHS paro,East Sikkim
Debris flow,Active,Debrisflow Debrisflow,306.9053548200,-260869774.2199999988,35.7955065830,2748.5247396000,GHS paro,East Sikkim
Debris flow,,Debrisflow Debrisflow,243.0054931600,237811940.4399999976,27.3467761150,3504.5864258000,GHS paro,East Sikkim
Debris flow,"2010",Debrisflow Debrisflow,111.8302502100,302617780.8899999857,57.7179349260,1979.2006293000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,97.9038611520,-21167273.3449999988,32.7572447460,1371.8487549000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,128.6677737800,-48373276.3329999968,57.0940886600,1995.1851942000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,117.6742935200,248399955.5600000024,53.3798378840,1992.7191569000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,135.1041590400,52229090.8889999986,37.2327859670,1846.0216064000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,103.1909908700,-259624497.7800000012,63.9990136890,1827.8456896000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,188.0958268900,192397396.5000000000,45.8230819700,2924.9536947000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,118.3053894000,6257655.1111000003,56.8934266830,2065.9814996000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,108.1541858200,266678607.1100000143,50.5350634260,2005.4629991000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,108.4813953000,-208298110.2199999988,41.8414908520,1899.6882731000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,96.3185433280,192989750.8899999857,47.7856080800,2027.4383138000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,121.6987236900,-47710854.2220000029,57.8649105500,2049.6296522000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,107.2035073200,-17975701.3330000006,52.5583525760,1962.6481527000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Discussed with Claire,300.6196458600,28230657.7780000009,45.0307748580,2371.6419542000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,101.1425476100,117901186.4399999976,14.5474343300,4132.8796658000,GHS paro,East Sikkim
Rock fall,image 10/18/2017,Highlands_slides Highlands,304.3431667800,28516379.5560000017,30.4324834610,4370.1265734000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,334.2525736500,99248861.7779999971,34.6503429410,4582.8148329000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,325.6614413800,147376255.1100000143,28.5234299770,4594.7222765000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,310.7980346700,89942385.7779999971,30.7733491260,4601.6142036000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,270.9704149000,247823008.4399999976,47.1290389170,4494.4907769000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,99.0066274010,78780589.1110000014,35.6789275280,4483.1759440000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,183.1063927500,207836527.8899999857,25.2893291050,4615.6975911000,GHS paro,East Sikkim
Rock slide,,Highlands_slides Highlands,162.3387129000,216277130.2199999988,21.4507140050,4649.5432400000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,157.9510108100,37954517.6670000032,32.9414363440,4533.0895725000,GHS paro,East Sikkim
Rock slide - debris flow,,Highlands_slides Highlands,201.1837717700,101786855.7800000012,34.5759245550,4434.3024631000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,302.0341695100,289058764.4399999976,33.2116964130,4642.5863715000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,309.2411431200,8333370.7221999997,43.2809482150,4603.0000000000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,192.7027876100,59395754.6670000032,37.9082353380,4649.8580187000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,200.9392259400,-596709.3333300002,34.9898427330,4624.6635200000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,229.8314378500,151625781.7800000012,29.0173325010,4649.1605360000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,229.4640435100,87585783.5559999943,25.9253667200,4511.8580729000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,230.8379041900,41175332.3329999968,34.3677277040,4516.8302951000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,232.3116132900,14857930.8190000001,39.7263365850,4512.5617405000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,226.7168053500,80584747.4720000029,38.6587626140,4521.2407227000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,162.9085337300,-27643373.9860000014,25.0128517150,4468.7160916000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,151.8978220600,118059172.4399999976,36.4522811040,4440.7190755000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,296.9911685500,132714646.3299999982,38.2985706330,4504.1017795000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,267.8889236500,368008152.8899999857,28.8923260370,4600.3950195000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,308.8309665300,37278244.1110000014,27.9269749320,4549.3734266000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,115.1159377600,160329787.7800000012,34.8011979000,4530.4290365000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,42.7618199190,56005802.5560000017,39.5322240190,4562.9845378000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,246.3259879200,211398864.8899999857,39.4227892560,4399.3549805000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,318.5921630900,64902856.0000000000,44.3234333460,4363.8055013000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,263.8519219300,192362742.5800000131,24.1536614100,4402.3425564000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,180.5899251300,36000154.4439999983,31.5354001790,4378.3828668000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,199.3560418000,62487547.7779999971,41.0664501190,4295.5463325000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,279.9544101300,-53360038.2220000029,37.5041957430,4288.7840169000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,274.1729312500,266858743.1100000143,35.5170379210,4356.8272027000,GHS paro,East Sikkim
Rock fall/debris flow,,Highlands_slides Highlands,151.4677615700,-12040789.1109999996,41.8750589160,4077.5308431000,GHS paro,East Sikkim
Debris flow,image 10/19/2017,Highlands_slides Highlands,329.3799947100,95295078.4440000057,23.0183368260,4138.6789822000,GHS paro,East Sikkim
Rock slide,Dipslope,Highlands_slides Highlands,184.7814398900,142986179.5600000024,42.4235267640,4294.7654622000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,262.9135284400,-1571584.0000000000,33.9707645840,4433.0371094000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,222.3606482600,150857434.4399999976,40.4009450280,4590.8024089000,GHS paro,East Sikkim
Debris flow,,Highlands_slides Highlands,295.7023383200,-50730655.8060000017,40.1014395820,4272.4197049000,GHS paro,East Sikkim
Rock slide,,Highlands_slides Highlands,153.9875467100,264193809.7800000012,17.1934774190,4133.2345378000,GHS paro,East Sikkim
Rock fall,,Highlands_slides Highlands,209.4032626700,71175740.6669999957,33.4515164690,4577.2068142000,GHS paro,East Sikkim
Debris flow,"2011",Debrisflow Debrisflow,144.1919640400,-12959670.4169999994,43.9987530180,1334.5926107000,LHS Daling,Sikkim
Debris flow,"2005",Debrisflow Debrisflow,138.2529432500,316492998.2200000286,37.3391263750,2285.6944444000,LHS Daling,Sikkim
Debris flow,"2002",Debrisflow Debrisflow,186.5694970000,109413313.7800000012,29.7682425180,1704.5246853000,LHS Daling,Sikkim
Debris flow,,Debrisflow Debrisflow,222.7423587400,46684647.2220000029,29.7521459790,813.3672892300,LHS Daling,Sikkim
Debris flow,"2011",Debrisflow Debrisflow,242.6865709100,174386592.8899999857,35.8173652230,1056.3858032000,LHS Daling,Sikkim
Debris flow,,Debrisflow Debrisflow,167.2141655800,26463290.6669999994,47.4635755750,3553.0864529000,LHS Daling,Sikkim
Debris flow,Active,Debrisflow Debrisflow,199.1106923400,45895039.2220000029,43.8419816760,2192.9752875000,LHS Daling,Sikkim
Debris flow,Active,Debrisflow Debrisflow,142.6373452100,270235671.8899999857,47.0366923010,1246.1975369000,LHS Daling,Sikkim
Debris slide-flow,"2005",Debrisflow Debrisflow,162.3607203200,-185124161.7800000012,26.4690869650,1509.9413656000,LHS Daling,Sikkim
Debris flow,,Debrisflow Debrisflow,118.4212892300,134064684.8900000006,49.3283093770,872.4876641200,LHS Daling,Sikkim
Debris flow,"2015",Debrisflow Debrisflow,187.6882595500,23697654.2219999991,37.9904096390,1298.5246853000,LHS Daling,Sikkim
Debris flow,"2015",Debrisflow Debrisflow,194.4988505000,28944495.2219999991,42.0185559590,1414.6573893000,LHS Daling,Sikkim
Debris flow,"2017",Debrisflow Debrisflow,195.7891082800,123486441.3299999982,31.4328214860,1544.1481391000,LHS Daling,Sikkim
Debris flow,"2011",Debrisflow Debrisflow,182.7604268400,34764303.4439999983,33.2582189770,1170.4228244000,LHS Daling,Sikkim
Debris flow,"2011",Debrisflow Debrisflow,211.1120266400,113519971.9399999976,37.5570078960,983.9320950000,LHS Daling,Sikkim
Debris flow,,Debrisflow Debrisflow,163.0264231400,80205994.0000000000,33.5558863750,3518.3549262000,MCT zone,Sikkim
Debris flow,"2011",Debrisflow Debrisflow,148.0189819300,242360328.4399999976,51.5553694830,2028.6512451000,MCT zone,Sikkim
Debris flow,,Debrisflow Debrisflow,139.5922444700,11152936.8890000004,49.2834269210,3180.8271213000,GHS paro,Sikkim
Debris flow,,Debrisflow Debrisflow,188.7124837200,28720740.0000000000,43.1524679400,3810.2623698000,GHS paro,Sikkim
Debris flow,"Definite
Active
With depositional fan",Debrisflow Debrisflow,89.9970796370,-60629844.1110000014,36.5089058350,3756.8363715000,GHS paro,Sikkim
Debris flow,"2015",Debrisflow Debrisflow,148.5268995500,123389610.2699999958,49.7983515000,2596.4845920000,GHS paro,Sikkim
Debris flow,,Debrisflow Debrisflow,182.0975986100,-13426933.0000000000,42.1182772320,2395.9783800000,GHS paro,Sikkim
Debris flow,"2010",Debrisflow Debrisflow,164.0530463300,98655186.2220000029,37.0471878050,3444.8611111000,GHS paro,Sikkim
Debris flow,"2010",Debrisflow Debrisflow,118.9562691600,-66862180.0560000017,35.5969335770,2997.2036947000,GHS paro,Sikkim
Debris flow,"2010",Debrisflow Debrisflow,142.2735722900,2393411.5556000001,43.6556578740,4059.5092231000,GHS paro,Sikkim
Debris flow,"2010",Debrisflow Debrisflow,184.0180799700,10063650.6669999994,33.3231135470,3943.0833062000,GHS paro,Sikkim
Debris flow,"2010",Debrisflow Debrisflow,142.8524119100,-24976031.9439999983,36.5907586420,3921.8178711000,GHS paro,Sikkim
Debris flow,"Definite 
Active",Debrisflow Debrisflow,179.4504275900,24707729.0560000017,37.4757385250,3914.2406955000,GHS paro,Sikkim
Debris flow,"Definite
Active",Debrisflow Debrisflow,195.9656846800,-79408443.3330000043,25.7017211910,3675.1142307000,GHS paro,Sikkim
Debris flow,Earliest image 11/24/2007,Debrisflow Debrisflow,322.5482109900,331722046.2200000286,46.0545128720,3703.2314724000,GHS paro,Sikkim
Debris flow,Image 1/20/2015,Debrisflow Debrisflow,100.9844114500,114926998.6700000018,34.3298810320,3326.8055827000,GHS paro,Sikkim
Debris flow,,Debrisflow Debrisflow,170.4050191200,-111196716.1099999845,38.6646501750,3496.6882867000,GHS paro,Sikkim
Debris flow,,Debrisflow Debrisflow,327.2883402500,122346599.8900000006,25.1673196160,3494.1172689000,GHS paro,Sikkim
Debris flow,,Debrisflow Debrisflow,314.8754882800,247773732.4399999976,36.9329598740,3335.0709907000,GHS paro,Sikkim
Debris flow,,Debrisflow Debrisflow,119.8686110200,3140796.4443999999,39.4280357360,3444.1265734000,GHS paro,Sikkim
Debris flow,,Debrisflow Debrisflow,217.0272267700,50554040.4439999983,18.4569810230,4257.6265191000,GHS paro,Sikkim
Debris flow,Active,Debrisflow Debrisflow,24.9316060810,-197332012.0000000000,44.3642612030,4419.4814996000,GHS paro,Sikkim
Debris flow,"2015",Debrisflow Debrisflow,120.9328977800,-20617848.8889999986,50.5039121840,3033.9969076000,GHS paro,Sikkim
Debris flow,"2012",Debrisflow Debrisflow,159.4685329900,-143593732.0000000000,55.9414566890,2183.3950467000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,198.3393300400,20137149.1110000014,36.5569873390,4534.3580729000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,241.5906083800,199083442.6699999869,32.3108520510,4415.3981120000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,256.5247141500,45309569.1110000014,36.2554066980,4487.7838542000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,227.7680426700,-65603982.4439999983,37.0894292200,4541.1697591000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,262.2680765800,246505421.7800000012,28.9984675510,4558.8179253000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,272.8170979800,289039984.0000000000,34.6794228020,4543.7653537000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,286.2493659100,79620184.1110000014,40.3049248590,4499.6171875000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,286.2493659100,79620184.1110000014,40.3049248590,4499.6171875000,GHS paro,Sikkim
Rock fall/debris flow,,Highlands_slides Highlands,292.8409525600,54642675.1110000014,40.7554287380,4558.7932400000,GHS paro,Sikkim
Rock fall/debris flow,,Highlands_slides Highlands,282.6970893000,-117146707.5600000024,35.7395786710,4544.7098524000,GHS paro,Sikkim
Rock fall,,Highlands_slides Highlands,245.0990956600,-34468800.0000000000,45.4540261160,4545.7160373000,GHS paro,Sikkim
Debris flow,"2009",Debrisflow Debrisflow,174.6293267100,-6697967.0000000000,41.7463048300,1285.5123291000,LHS,Sikkim
Debris flow,"2011",Debrisflow Debrisflow,153.2915513800,-96142108.7779999971,51.0365600590,1422.3302409000,LHS,Sikkim
Debris flow,,Debrisflow Debrisflow,163.5070682100,290804283.5600000024,42.4532515210,3600.0771484000,Lingtse,Sikkim
Debris flow,"2012",Debrisflow Debrisflow,135.6628689200,11893653.1109999996,49.9891505770,2013.4814996000,Lingtse,Sikkim
Debris flow,Image 10/5/2011,Debrisflow Debrisflow,131.9961785200,115464128.4399999976,31.9480226300,1990.8549262000,GHS paro,
Debris flow,,Debrisflow Debrisflow,161.0677405500,-109272464.8900000006,40.6242188350,3792.8889160000,GHS paro,
Debris flow,Image 10/5/2011,Debrisflow Debrisflow,80.2661251490,193242614.2199999988,38.2002476590,1987.4136149000,GHS paro,
Rock fall,,Highlands_slides Highlands,95.5565227930,98050225.2779999971,39.9869541590,4522.6388889000,GHS paro,
