rainfall_mm_1h,rainfall_mm_24h,rainfall_mm_72h,soil_moisture_pct,sar_deformation_flag,insar_velocity_mm_yr,landslide_triggered
2.17,18.83,70.99,42.06,0,-1.09,0
0.52,38.98,102.28,49.11,0,-1.29,0
3.65,27.86,87.77,56.59,1,-8.63,0
0.17,8.91,22.76,37.09,1,-16.0,0
1.64,50.42,142.8,46.66,0,-3.85,0
0.3,41.53,91.2,51.84,1,-10.45,1
0.01,42.46,114.62,48.34,0,-3.77,0
11.32,80.7,174.55,55.13,0,-1.73,1
19.44,142.61,267.64,62.51,0,-2.17,1
2.84,47.75,71.42,42.63,0,-2.19,0
0.96,16.08,56.69,45.1,0,-3.27,0
8.47,67.16,177.66,53.47,1,-22.67,0
8.98,37.88,69.49,46.69,0,-2.95,0
6.75,38.51,70.78,49.19,0,-3.53,0
2.75,15.46,50.29,40.91,0,-0.24,0
0.27,8.08,60.09,43.7,0,-2.37,0
0.32,4.55,9.73,29.58,0,-2.45,0
7.94,30.73,71.5,46.18,1,-16.42,0
7.3,31.77,123.59,52.39,0,-2.59,0
1.99,29.07,57.58,42.08,0,-2.21,0
1.39,12.64,37.14,37.39,0,-2.23,0
3.62,43.97,156.52,57.06,0,-0.71,1
5.76,32.91,53.3,39.75,0,-2.07,0
4.6,37.42,110.96,50.69,0,-3.5,0
3.35,26.26,54.59,47.16,1,-8.54,0
0.92,39.11,76.01,56.36,0,-2.3,0
1.07,23.48,38.35,50.62,0,-4.36,0
4.51,66.13,146.08,55.86,0,-3.95,0
5.68,23.64,72.46,40.55,0,-4.19,0
0.43,11.95,30.79,35.01,0,-0.53,0
0.73,4.75,40.91,39.71,0,-2.86,0
3.99,26.39,76.52,51.83,0,-1.16,0
1.72,16.48,39.53,35.04,0,-1.94,0
2.9,54.23,136.85,53.68,0,-3.12,0
3.34,35.56,89.47,43.44,0,-2.69,0
5.24,25.05,55.94,50.82,0,-2.37,0
5.73,61.72,108.92,53.88,0,-3.7,0
1.15,3.71,20.75,31.33,0,-3.14,0
2.73,16.16,43.27,39.9,0,-3.73,0
0.46,20.93,79.36,40.14,0,-4.21,0
6.46,46.91,124.67,55.3,0,-3.26,0
6.54,44.69,107.94,52.97,0,-1.9,0
1.25,8.22,73.48,37.03,0,-1.11,0
0.61,10.99,148.54,51.78,1,-21.62,1
0.25,54.62,133.13,52.43,1,-11.23,0
2.99,85.53,142.66,53.43,0,-3.38,0
0.34,9.06,52.9,39.3,0,-0.37,0
3.99,39.62,71.71,46.21,0,-3.7,0
3.97,28.78,83.31,54.51,1,-11.95,0
3.33,25.16,74.7,48.5,0,-2.35,0
7.32,58.44,196.25,65.02,0,-1.92,0
1.66,19.99,145.09,56.92,0,-0.68,0
8.14,71.83,199.7,57.76,1,-12.11,0
0.13,20.27,52.33,40.81,0,-0.67,0
0.42,21.43,53.31,45.93,0,-3.72,0
1.86,10.82,25.22,37.25,0,-2.39,0
3.15,45.08,103.57,57.15,0,-1.26,0
0.12,76.75,173.49,57.55,0,-0.28,1
2.93,26.13,81.52,40.27,0,-2.45,0
1.29,8.59,22.08,32.57,0,-3.43,0
7.64,111.51,288.37,56.38,1,-14.56,0
2.67,21.05,51.85,40.92,0,-1.12,0
3.1,26.29,45.18,34.18,0,-4.48,0
10.19,28.35,59.83,42.83,0,-2.65,0
5.06,27.93,54.21,42.85,0,-1.63,0
2.02,15.01,111.85,50.93,0,-1.89,0
2.27,22.36,73.29,44.48,0,-0.74,0
3.65,27.37,63.25,42.06,0,-2.32,1
0.78,22.75,55.25,48.01,0,-3.44,0
0.32,18.98,52.94,43.25,0,-1.96,0
1.31,20.69,36.94,30.34,0,-3.93,0
5.27,48.99,90.94,49.38,0,-2.25,0
1.04,57.05,153.23,63.43,0,-4.07,1
0.49,7.79,12.56,27.9,0,-3.22,0
0.87,6.32,13.79,28.74,0,-0.44,0
3.98,28.3,69.69,48.37,1,-15.73,1
3.33,18.86,60.79,39.22,0,-3.64,0
4.08,63.39,199.85,53.46,0,-1.73,0
1.36,13.59,63.63,36.23,0,-1.01,0
8.09,38.39,78.64,50.17,0,-3.92,0
2.1,8.66,19.51,37.04,0,-4.43,0
2.52,23.17,82.35,44.46,0,-3.68,0
10.4,46.41,74.27,40.25,0,-3.32,0
13.57,75.88,122.53,57.14,0,-0.2,1
3.79,80.76,165.67,56.27,0,-0.66,0
10.14,37.39,90.87,38.67,0,-3.09,0
2.73,13.78,35.6,39.44,0,-1.96,0
1.28,17.17,60.41,44.87,0,-0.28,0
1.32,24.4,63.53,50.98,0,-3.39,0
2.87,19.67,88.71,52.57,1,-24.4,0
3.25,50.18,151.49,60.17,0,-3.03,0
2.03,10.33,38.28,33.91,0,-2.21,0
7.53,40.36,74.57,39.32,0,-0.31,0
1.95,23.57,79.9,49.55,0,-2.93,0
1.12,7.21,53.52,42.06,0,-3.59,0
0.03,24.04,61.12,46.79,1,-17.27,0
12.34,66.46,165.43,57.51,0,-4.03,0
6.09,50.49,147.28,62.53,1,-12.39,0
3.35,24.33,161.61,54.41,0,-2.02,0
6.21,34.31,111.29,51.67,0,-2.47,0
5.82,29.48,77.13,43.35,0,-1.55,0
9.4,47.91,129.63,49.19,0,-2.35,0
1.71,29.55,43.0,46.13,0,-3.29,0
2.83,20.26,32.82,36.25,0,-3.27,0
0.36,11.88,55.7,54.76,1,-6.59,0
11.77,73.8,238.62,54.88,1,-24.4,1
14.73,57.41,195.11,59.54,0,-4.44,0
5.45,55.79,82.98,48.29,0,-2.76,0
2.12,64.77,139.83,60.83,0,-1.92,0
2.4,22.07,54.39,37.74,0,-1.23,0
2.0,58.92,121.25,49.66,0,-1.25,0
1.22,48.88,94.88,42.21,1,-9.85,0
2.63,10.96,66.97,52.03,0,-3.32,0
0.19,4.79,53.17,33.28,0,-3.01,0
16.85,63.58,176.08,58.31,1,-14.28,1
1.93,19.93,43.19,52.04,0,-4.04,1
9.18,47.96,116.54,57.79,1,-12.94,0
4.51,27.96,84.08,53.82,0,-0.5,0
1.2,14.43,39.08,47.08,0,-0.46,0
0.88,27.24,94.07,50.03,0,-0.82,0
19.05,85.04,186.65,59.31,1,-15.83,1
5.18,38.69,132.44,53.84,1,-17.23,0
1.01,57.16,136.54,53.89,0,-3.55,0
0.24,29.63,82.67,44.37,0,-1.07,0
4.18,26.32,71.49,52.45,0,-1.27,0
1.26,6.36,19.21,29.96,0,-2.94,0
0.88,17.14,44.46,38.46,0,-3.95,0
4.65,88.78,168.26,50.48,0,-1.56,1
3.98,55.37,145.45,59.29,1,-22.61,1
2.3,28.58,140.51,62.63,0,-4.03,0
10.01,33.72,52.97,30.69,0,-3.51,0
3.98,35.66,75.19,53.92,0,-4.03,0
7.84,69.74,191.86,62.53,0,-1.4,0
0.74,57.6,96.6,55.88,0,-3.17,0
1.23,25.94,101.0,52.0,0,-0.69,0
0.39,15.89,46.82,43.44,0,-2.85,0
1.27,24.31,83.01,49.15,0,-1.51,1
12.49,111.59,205.14,54.7,0,-3.22,1
11.53,80.72,210.96,59.45,0,-0.81,1
5.0,23.15,98.2,47.3,0,-3.06,1
2.58,35.15,73.25,51.28,0,-3.25,0
5.31,65.68,154.47,54.61,1,-19.27,0
2.82,32.1,54.53,44.63,0,-3.15,0
0.01,14.02,34.63,31.88,0,-2.45,0
2.44,39.11,75.15,55.4,1,-24.15,0
3.2,30.2,134.03,55.32,0,-1.42,0
1.08,6.89,31.93,29.79,0,-3.11,0
0.8,29.29,114.94,56.96,0,-3.32,0
1.12,15.03,98.44,51.04,0,-1.89,0
3.42,66.46,166.1,60.89,1,-14.17,1
0.55,73.49,183.06,73.97,1,-22.97,1
4.46,25.11,71.32,51.23,0,-0.56,0
1.92,75.44,131.22,59.2,1,-15.05,1
1.53,11.93,25.8,32.95,0,-0.63,0
5.76,37.49,105.7,51.29,0,-1.66,0
2.47,13.45,27.73,33.54,0,-0.75,0
1.66,8.87,19.13,26.01,0,-2.09,0
7.37,62.25,96.54,47.38,0,-3.55,0
1.61,50.66,129.29,59.2,0,-0.49,1
6.86,44.33,162.33,58.53,0,-2.62,0
2.46,18.77,119.31,46.59,0,-0.39,0
0.82,15.08,79.57,46.39,1,-8.92,0
3.32,54.8,135.78,50.27,1,-20.47,0
1.18,9.44,41.34,41.42,0,-2.32,0
0.56,9.98,38.51,34.94,1,-25.84,0
0.32,31.61,76.91,43.71,0,-2.75,0
0.97,60.11,136.53,47.84,0,-1.66,0
4.67,17.61,48.22,49.09,0,-1.25,0
6.37,64.59,148.85,55.19,0,-3.46,0
6.92,47.85,101.49,49.64,0,-2.05,0
1.1,9.14,110.05,52.98,0,-4.16,0
3.79,45.82,130.01,55.63,1,-16.35,1
0.92,30.79,48.37,37.37,0,-1.1,0
3.41,16.97,98.88,51.03,1,-12.06,0
7.64,45.52,163.44,57.18,0,-2.51,0
0.15,28.8,87.98,53.37,0,-3.93,1
14.75,88.84,228.1,64.8,0,-3.17,0
6.14,45.99,93.96,49.11,0,-2.81,0
5.02,22.11,55.88,42.6,0,-3.12,0
4.11,28.63,53.35,40.86,0,-1.87,0
5.15,23.43,116.03,52.58,0,-4.33,1
18.27,106.46,195.47,58.92,0,-0.45,1
5.15,25.22,49.78,41.92,0,-0.33,0
1.52,15.9,49.98,33.83,0,-1.99,0
3.33,15.42,43.43,36.42,0,-0.86,0
1.44,35.87,108.25,58.27,0,-2.54,0
12.28,90.75,177.39,54.51,0,-0.24,0
8.06,44.55,118.64,51.65,0,-2.18,1
2.93,71.83,143.27,55.99,1,-25.85,0
5.32,46.0,111.26,50.6,0,-1.07,0
8.42,57.06,109.66,48.44,0,-2.11,0
0.98,18.33,47.4,45.18,0,-3.87,0
3.03,21.42,82.85,42.28,0,-3.02,0
2.3,73.33,103.37,40.16,0,-0.89,0
5.17,24.07,152.21,62.2,0,-2.35,0
1.67,31.98,104.84,44.2,0,-4.21,1
4.32,28.39,51.94,45.24,0,-2.09,0
1.81,53.66,119.75,50.53,0,-2.22,1
0.41,10.88,28.06,42.93,0,-4.25,0
0.4,16.58,59.34,41.96,0,-0.78,0
0.44,29.57,51.19,38.74,0,-3.36,0
0.12,1.62,13.73,35.08,0,-1.49,0
2.66,14.03,126.76,59.45,0,-3.92,0
3.9,19.25,36.22,45.85,0,-0.43,0
0.47,5.45,33.03,24.31,0,-4.46,0
3.31,18.43,40.49,28.98,0,-3.51,0
3.19,34.46,86.66,42.62,0,-1.42,0
0.56,33.98,78.0,41.08,0,-3.47,0
1.81,73.35,126.73,50.78,0,-4.17,0
4.92,38.34,73.58,46.16,0,-0.69,0
0.06,6.89,17.27,32.88,0,-4.13,0
0.56,43.04,175.33,60.42,1,-7.28,0
19.18,111.59,315.76,61.37,0,-0.23,1
4.63,45.11,140.24,54.19,0,-0.68,0
2.18,16.2,34.83,37.06,0,-4.0,0
3.48,56.99,84.58,47.82,1,-14.71,0
6.55,34.9,96.24,46.95,0,-4.05,0
6.46,27.7,134.9,55.17,1,-6.76,1
1.37,36.61,97.71,44.5,0,-4.33,0
2.37,30.53,80.39,55.67,0,-1.95,0
3.56,15.24,63.15,39.57,0,-0.69,0
0.26,23.75,51.8,43.56,0,-1.67,0
10.2,60.3,172.59,55.82,0,-4.49,1
1.98,44.81,161.27,54.08,0,-2.89,0
1.62,13.05,112.87,44.1,0,-1.66,0
8.32,42.59,87.72,45.52,0,-2.88,0
0.44,15.7,54.81,41.03,0,-2.05,0
0.14,39.6,78.72,43.89,0,-0.41,0
4.04,25.37,51.9,44.98,0,-1.06,0
1.7,19.89,69.46,53.52,0,-0.28,0
5.06,20.46,69.53,44.82,0,-1.3,0
0.25,1.3,12.74,32.84,0,-3.38,0
1.69,55.6,102.98,56.6,1,-13.03,0
0.94,6.14,10.22,23.97,0,-2.47,0
4.71,43.28,184.15,67.16,1,-12.81,0
0.9,12.3,58.24,36.37,0,-2.56,0
2.14,18.84,82.57,47.41,0,-0.27,0
5.98,81.75,119.17,55.78,1,-7.28,0
8.64,55.27,107.66,58.74,1,-14.49,0
4.49,44.66,79.57,46.88,0,-1.67,0
1.96,39.86,103.42,50.98,0,-2.55,0
2.97,16.27,60.86,51.66,0,-2.41,0
4.1,29.02,119.3,44.9,0,-1.01,0
7.28,27.87,55.61,37.38,0,-3.43,0
7.68,57.48,76.82,40.34,0,-0.89,0
9.36,51.57,166.58,51.55,0,-2.17,1
5.83,24.82,113.26,47.08,0,-3.45,0
0.56,48.46,101.32,56.34,0,-3.2,1
4.82,34.96,55.18,49.92,0,-2.06,0
5.9,36.78,78.54,48.66,0,-3.59,0
7.36,43.36,109.05,56.09,0,-3.27,0
9.06,75.69,186.4,62.55,1,-20.41,0
2.49,70.46,186.02,58.44,0,-4.05,0
3.73,29.2,47.45,45.22,0,-0.81,0
0.03,11.83,57.89,46.68,0,-1.74,0
2.98,24.03,39.37,41.82,0,-3.2,0
2.24,18.26,33.32,37.4,0,-3.95,0
11.47,66.47,146.28,56.15,1,-17.8,0
8.12,47.33,105.4,49.87,0,-2.61,0
5.59,79.65,173.18,48.69,1,-20.87,0
0.21,4.5,26.51,34.63,0,-1.79,1
1.8,33.42,93.86,49.41,0,-1.62,0
4.17,27.55,64.51,39.76,0,-3.82,0
0.11,5.75,108.02,48.66,0,-0.52,0
0.94,19.92,104.39,54.09,1,-7.3,0
7.65,54.24,166.79,61.37,0,-2.1,1
0.49,28.64,80.8,38.83,0,-1.95,0
0.18,5.92,16.66,28.23,0,-0.89,0
3.04,23.05,62.1,47.74,0,-1.33,0
10.25,67.47,166.22,50.62,0,-4.39,0
6.3,41.86,95.75,48.76,0,-2.41,0
12.88,77.5,156.72,49.92,1,-19.71,0
4.9,29.78,65.68,40.01,1,-21.72,0
2.01,37.44,116.36,53.84,0,-0.38,1
10.26,61.94,143.17,58.06,0,-1.87,0
1.95,16.01,70.05,50.51,0,-3.92,0
1.51,13.37,39.75,52.67,0,-3.78,0
2.08,10.04,32.15,35.67,0,-1.78,0
5.89,41.12,89.63,47.82,0,-3.53,0
8.74,46.79,198.58,65.69,0,-3.43,0
1.55,16.4,24.6,39.99,0,-2.28,0
2.17,32.71,89.16,51.17,0,-1.94,0
8.0,109.75,215.47,58.4,0,-0.98,1
0.17,2.3,7.71,32.03,0,-1.4,0
5.36,28.96,70.37,42.38,0,-1.66,0
2.12,20.17,55.1,39.01,0,-3.69,0
1.65,13.63,44.29,41.21,0,-2.58,0
2.07,14.36,36.04,48.05,0,-1.06,1
1.9,16.8,58.7,41.64,0,-0.61,0
4.95,39.28,71.82,45.89,0,-2.34,0
9.21,85.44,218.32,52.61,0,-3.07,0
2.37,131.9,304.12,59.91,0,-3.72,1
6.26,54.98,144.41,56.86,0,-3.63,0
4.61,22.64,47.05,42.89,0,-3.74,0
1.41,31.22,67.26,54.46,0,-2.13,0
3.1,31.72,57.47,37.58,0,-3.92,0
3.85,27.75,87.04,48.81,0,-2.11,0
0.08,55.26,123.4,50.62,0,-0.92,0
1.76,30.21,88.39,49.75,0,-1.91,0
17.19,113.05,277.2,60.71,1,-25.37,0
3.55,18.97,51.22,32.78,0,-1.89,0
1.42,46.38,124.46,56.21,1,-21.28,0
1.01,37.24,79.34,43.18,0,-3.02,0
0.82,9.49,19.62,31.56,0,-1.17,0
1.8,16.35,64.12,44.49,1,-18.82,0
0.75,4.45,33.86,36.97,0,-2.76,0
0.51,2.73,6.91,15.0,0,-0.56,0
1.58,26.78,135.38,46.19,1,-8.98,0
3.27,15.74,41.2,37.67,0,-0.97,0
